date,rate
2025-01-15,5.75
2024-12-18,6.0
2024-11-20,6.0
2024-10-16,6.0
2024-09-18,6.0
2024-08-21,6.25
2024-07-17,6.25
2024-06-20,6.25
2024-05-22,6.25
2024-04-24,6.25
2024-03-20,6.0
2024-02-21,6.0
2024-01-17,6.0
2023-12-21,6.0
2023-11-23,6.0
2023-10-19,6.0
2023-09-21,5.75
2023-08-24,5.75
2023-07-25,5.75
2023-06-22,5.75
2023-05-25,5.75
2023-04-18,5.75
2023-03-16,5.75
2023-02-16,5.75
2023-01-19,5.75
2022-12-22,5.5
2022-11-17,5.25
2022-10-20,4.75
2022-09-22,4.25
2022-08-23,3.75
2022-07-21,3.5
2022-06-23,3.5
2022-05-24,3.5
2022-04-19,3.5
2022-03-17,3.5
2022-02-10,3.5
2022-01-20,3.5
2021-12-16,3.5
